batter	game_id	local_date	sum_Hit	sum_atBat	BA	cnt
115223	12560	2011-04-04	26	78	0.3333	24
117601	12560	2011-04-04	7	33	0.2121	11
120044	12560	2011-04-04	15	65	0.2308	23
276346	12560	2011-04-04	18	74	0.2432	27
400121	12560	2011-04-04	22	79	0.2785	26
406878	12560	2011-04-04	18	52	0.3462	15
408234	12560	2011-04-04	28	85	0.3294	27
425509	12560	2011-04-04	17	78	0.2179	26
429666	12560	2011-04-04	22	65	0.3385	22
429712	12560	2011-04-04	16	65	0.2462	21
430945	12560	2011-04-04	23	81	0.2840	23
446308	12560	2011-04-04	20	70	0.2857	21
448602	12560	2011-04-04	19	80	0.2375	24
453269	12560	2011-04-04	31	82	0.3780	27
455976	12560	2011-04-04	24	66	0.3636	20
457706	12560	2011-04-04	17	80	0.2125	28
488671	12560	2011-04-04	16	57	0.2807	24
489242	12560	2011-04-04	22	74	0.2973	23
